ID	Name	Des	InitialKey1	InitialKey2	IgnoreCombinationkeys	Lock	Type
Function ID	Name	Des	Hotkey Set 1	Hotkey Set 2	Ignore key combination conflict	Locked (cannot be modified by palyers)	Category
Up	Up		W	UpArrow	LeftAlt		Player
down	Down		S	DownArrow	LeftAlt		Player
left	Left		A	LeftArrow	LeftAlt		Player
right	Right		D	RightArrow	LeftAlt		Player
SpeedP	Giảm tốc độ game		Q				Player
SpeedN	Tăng tốc độ game		E				Player
GamePauseOrPlay	Pause/Stop		Space				Player
Attack	Attack		BackQuote				Character
RunAway	Flee		LeftControl+BackQuote				Character
Moveto	Di chuyển đến		V				Character
StopJob	Interrupt	Interrupts the current action (some actions cannot be interrupted).	LeftAlt+S				Character
Work	Bảng Làm việc		T				Menu
School	Bảng Môn phái		G				Menu
World	Bản đồ Thế giới		M				Menu
Help	Bảng Trợ giúp		F10				Menu
AttributePanel	Bảng Chỉ số		C				Character
MoodPanel	Bảng Xã giao/Tâm trạng		F				Character
HealthPanel	Bảng Sức khỏe		H				Character
PracticePanel	Bảng Tu luyện		X				Character
EquipmentPanel	Bảng Trang bị		Z				Character
Interaction	Interaction 1-9	F1-F9				1	Character
RotBuilding	Xoay Công trình		R				Area
RepeatBuild	Sao chép công trình		LeftControl+V				Area
Harvest	Harvest		LeftControl+G				Area
Log	Chop		LeftControl+X				Area
Mine	Mine		LeftControl+T				Area
Cutoff	Dọn Khu vực		LeftControl+E				Area
Dismantle	Demolish		LeftControl+C				Area
RemoveFloor	Gỡ Sàn		LeftControl+B				Area
Explore	Tìm Khu vực		LeftControl+F				Area
Melting	Luyện hóa vật phẩm		LeftControl+Y				Area
Hunting	Săn Động vật		LeftControl+H				Area
CancelCMD	Hủy Lệnh		LeftControl+D				Area
BuildPanel	Bảng Xây dựng		B				Menu
SearchPanel	SearchPanel		Y				Menu
ProducePanel	ProducePanel	LCtrl+1~9				1	Menu
SwichNpc	Đổi Mục tiêu	1~9				1	Player
33	Đội Mục tiêu	L-Ctrl + 1-9				1	Player
34	Chọn Đội		Alpha1				Player
36	Multiple		Alpha2				Player
Story1	Adv. Option 1		Alpha1				Adventure
Story2	Adv. Option 2		Alpha2				Adventure
Story3	Adv. Option 3		Alpha3				Adventure
Story4	Adv. Option 4		Alpha4				Adventure
Story5	Adv. Option 5		Alpha5				Adventure
Story6	Adv. Option 6		Alpha6				Adventure
Story7	Adv. Option 7		Alpha7				Adventure
Story8	Adv. Option 8		Alpha8				Adventure
Story9	Adv. Option 9		Alpha9				Adventure
QuickSave	Lưu Nhanh	Esc				1	System
ShowOrHide	Ẩn/Hiện Giao diện		F11				System
37	Bảng Hệ thống		Comma				System
Zhen	Bảng Trận pháp		N				Menu
MinMap	Minimap		Comma				Menu
ShowElement	Ngũ hành		L				Menu
Power	power		K				Menu


